index,wmape,type
Мин. вес до спирального изгиба (спуск),0.013261738801829714,ves_na_kru
Бурение ГЗД,0.006657139240083903,ves_na_kru
Макс. вес до предела текучести (подъём),0.008311827086217236,ves_na_kru
Грузоподъёмность вышки,0.0,ves_na_kru
Спуск,0.0057520016817870084,ves_na_kru
Подъём,0.003756798726508965,ves_na_kru
Бурение ротором,0.003224881125814776,ves_na_kru
Синусоидальный изгиб(все операции),0.25105571467773163,effect_na
Бурение ГЗД,0.37954288749861353,effect_na
Глубина по вертикали,0.044340082903248625,effect_na
Грузоподъёмность вышки,0.0,effect_na
Предел натяжения,0.12569178631976988,effect_na
Спуск,0.16572689016314912,effect_na
Подъём,0.050480314530393255,effect_na
Спиральный изгиб(с вращением),0.2510448350613562,effect_na
Спиральный изгиб(без вращения),0.25105756639410864,effect_na
Бурение ротором,0.1533104679464968,effect_na
Спуск,0.03771348841106298,moment
Подъём,0.03454959099672274,moment
Момент свинчивания,0.008082672501097643,moment
Бурение ротором,0.02000960145980511,moment
 Make-up Torque,0.008082672501097643,moment
Мин. вес на долоте до спирального изгиба (бурение ротором),0.08945169799046555,min_ves
Мин. вес на долоте до синусоидального изгиба (бурение ротором),0.06437487233629331,min_ves
Мин. вес на долоте до спирального изгиба (бурение ГЗД),0.18620033474736486,min_ves
Мин. вес на долоте до синусоидального изгиба (бурение ГЗД),0.13400680288928735,min_ves
