Мин. вес на долоте до спирального изгиба (бурение ротором),Мин. вес на долоте до синусоидального изгиба (бурение ротором),Мин. вес на долоте до спирального изгиба (бурение ГЗД),Мин. вес на долоте до синусоидального изгиба (бурение ГЗД)
7.34,6.82,6.93,5.07
7.34,6.82,6.93,5.07
10.36,9.2,11.06,6.93
7.76,7.16,7.4,5.27
7.76,7.16,7.4,5.27
10.51,9.36,11.01,6.92
9.32,8.64,8.86,6.48
11.72,10.56,11.84,7.84
9.73,8.96,9.14,6.52
10.75,9.59,10.5,6.61
8.93,8.09,8.18,5.37
10.75,9.59,10.16,6.35
9.18,8.26,8.25,5.24
10.73,9.57,9.78,6.05
9.37,8.38,8.23,5.08
10.63,9.47,9.34,5.7
10.52,9.36,8.86,5.32
9.62,8.49,8.03,4.58
10.35,9.19,8.34,4.89
9.67,8.46,7.87,4.26
9.67,8.46,7.87,4.26
10.91,9.5,9.03,4.83
12.05,10.11,10.94,5.14
11.33,9.58,9.91,4.68
10.64,9.07,8.94,4.26
14.77,11.92,14.62,6.2
11.73,9.81,10.33,4.59
15.51,12.7,14.83,6.47
9.64,8.33,7.4,3.48
15.59,12.76,14.78,6.38
15.64,12.24,14.66,6.24
13.88,11.33,12.81,5.22
15.67,12.23,14.58,6.14
15.81,12.22,14.69,6.04
13.23,10.88,11.7,4.72
15.81,12.2,14.47,5.97
10.61,9.02,7.99,3.3
15.79,12.16,14.25,5.77
9.39,8.15,6.24,2.58
15.78,12.13,14.16,5.66
9.44,8.18,6.2,2.49
15.79,12.12,14.06,5.54
10.06,8.62,6.91,2.66
10.88,9.2,7.9,2.93
15.81,12.23,13.88,5.34
11.72,9.8,8.93,3.24
15.84,12.25,13.76,5.24
12.51,10.36,9.79,3.46
15.83,12.15,13.48,5.05
13.19,10.84,10.54,3.62
9.58,8.28,5.68,1.85
9.32,8.55,5.56,4.71
9.32,8.55,5.56,4.71
9.32,8.55,5.56,4.71
9.32,8.55,5.56,4.71
9.32,8.55,5.56,4.71
7.57,7.31,3.86,3.1
7.57,7.31,3.86,3.1
7.57,7.31,3.86,3.1
7.57,7.31,3.86,3.1
7.57,7.31,3.86,3.1
7.57,7.31,3.86,3.1
7.32,7.12,3.29,2.72
7.32,7.12,3.29,2.72
7.32,7.12,3.29,2.72
7.32,7.12,3.29,2.72
7.32,7.12,3.29,2.72
7.32,7.12,3.29,2.72
7.72,7.49,3.26,2.61
7.72,7.49,3.26,2.61
7.72,7.49,3.26,2.61
7.72,7.49,3.26,2.61
7.72,7.49,3.26,2.61
9.33,8.98,4.48,3.46
9.33,8.98,4.48,3.46
9.33,8.98,4.48,3.46
9.33,8.98,4.48,3.46
9.33,8.98,4.48,3.46
9.2,8.95,3.82,3.1
9.2,8.95,3.82,3.1
9.2,8.95,3.82,3.1
9.2,8.95,3.82,3.1
9.2,8.95,3.82,3.1
9.15,8.8,3.67,2.66
9.15,8.8,3.67,2.66
9.15,8.8,3.67,2.66
9.15,8.8,3.67,2.66
9.15,8.8,3.67,2.66
8.97,8.72,2.98,2.25
8.97,8.72,2.98,2.25
8.97,8.72,2.98,2.25
8.97,8.72,2.98,2.25
8.97,8.72,2.98,2.25
11.38,10.42,5.1,3.02
11.38,10.42,5.1,3.02
11.38,10.42,5.1,3.02
11.38,10.42,5.1,3.02
11.38,10.42,5.1,3.02
12.78,12.63,4.37,3.86
12.78,12.63,4.37,3.86
12.78,12.63,4.37,3.86
12.78,12.63,4.37,3.86
12.78,12.63,4.37,3.86
12.32,11.56,4.11,3.17
12.32,11.56,4.11,3.17
12.32,11.56,4.11,3.17
12.32,11.56,4.11,3.17
12.32,11.56,4.11,3.17
10.94,10.66,2.89,2.06
10.94,10.66,2.89,2.06
10.94,10.66,2.89,2.06
