MD,Incl.,Azim.,Sub-Sea,TVD,Local N Coord,Local E Coord,Global N Coord,Global E Coord,Dogleg,Vertical Section,Body_OD,Body_ID,Body_AvgJointLength,Stabilizer_Length,Stabilizer_OD,Stabilizer_ID,Weight,Coefficient of Friction,Minimum Yield Stress
100,0.3,108.18,117.368,100,-0.082,0.249,5089454.418,9691423.939,0.09,0.01,101.6,82.3,9.144,0.433,138.91,76.2,26.41,0.25,105
110,0.411,92.123,127.367,109.999,-0.091,0.309,5089454.409,9691423.999,0.445,0.02,101.6,82.3,9.144,0.433,138.91,76.2,26.41,0.25,105
120,0.36,88.348,137.367,119.999,-0.092,0.377,5089454.408,9691424.067,0.171,0.04,101.6,82.3,9.144,0.433,138.91,76.2,26.41,0.25,105
130,0.273,93.81,147.367,129.999,-0.092,0.432,5089454.408,9691424.122,0.275,0.06,101.6,82.3,9.144,0.433,138.91,76.2,26.41,0.25,105
140,0.263,104.222,157.367,139.999,-0.1,0.478,5089454.4,9691424.168,0.149,0.07,101.6,82.3,9.144,0.433,138.91,76.2,26.41,0.25,105
150,0.3,112.086,167.367,149.999,-0.115,0.525,5089454.385,9691424.215,0.16,0.07,101.6,82.3,9.144,0.433,138.91,76.2,26.41,0.25,105
160,0.363,131.092,177.367,159.999,-0.146,0.573,5089454.354,9691424.263,0.378,0.06,101.6,82.3,9.144,0.433,138.91,76.2,26.41,0.25,105
170,0.407,127.936,187.366,169.998,-0.188,0.625,5089454.312,9691424.315,0.145,0.04,101.6,82.3,9.144,0.433,138.91,76.2,26.41,0.25,105
180,0.577,123.17,197.366,179.998,-0.238,0.695,5089454.262,9691424.385,0.524,0.01,101.6,82.3,9.144,0.433,138.91,76.2,26.41,0.25,105
190,0.487,125.126,207.366,189.998,-0.29,0.772,5089454.21,9691424.462,0.275,-0.01,101.6,82.3,9.144,0.433,138.91,76.2,26.41,0.25,105
200,0.483,118.24,217.365,199.997,-0.334,0.843,5089454.166,9691424.533,0.175,-0.03,101.6,82.3,9.144,0.433,138.91,76.2,26.41,0.25,105
210,0.423,113.687,227.365,209.997,-0.369,0.914,5089454.131,9691424.604,0.21,-0.03,101.6,82.3,9.144,0.433,138.91,76.2,26.41,0.25,105
220,0.387,105.523,237.365,219.997,-0.393,0.981,5089454.107,9691424.671,0.205,-0.03,101.6,82.3,9.144,0.433,138.91,76.2,26.41,0.25,105
230,0.367,101.444,247.365,229.996,-0.408,1.045,5089454.092,9691424.735,0.1,-0.03,101.6,82.3,9.144,0.433,138.91,76.2,26.41,0.25,105
240,0.233,111.787,257.364,239.996,-0.422,1.095,5089454.078,9691424.785,0.43,-0.02,101.6,82.3,9.144,0.433,138.91,76.2,26.41,0.25,105
250,0.25,135.232,267.364,249.996,-0.445,1.129,5089454.055,9691424.819,0.299,-0.03,101.6,82.3,9.144,0.433,138.91,76.2,26.41,0.25,105
260,0.4,140.462,277.364,259.996,-0.487,1.167,5089454.013,9691424.857,0.458,-0.06,101.6,82.3,9.144,0.433,138.91,76.2,26.41,0.25,105
270,0.4,144.608,287.364,269.996,-0.543,1.209,5089453.957,9691424.899,0.087,-0.1,101.6,82.3,9.144,0.433,138.91,76.2,26.41,0.25,105
280,0.477,129.25,297.364,279.995,-0.598,1.262,5089453.902,9691424.952,0.419,-0.13,101.6,82.3,9.144,0.433,138.91,76.2,26.41,0.25,105
290,0.433,119.177,307.363,289.995,-0.642,1.327,5089453.858,9691425.017,0.272,-0.15,101.6,82.3,9.144,0.433,138.91,76.2,26.41,0.25,105
300,0.373,106.293,317.363,299.995,-0.67,1.391,5089453.83,9691425.081,0.325,-0.15,101.6,82.3,9.144,0.433,138.91,76.2,26.41,0.25,105
310,0.3,91.857,327.363,309.995,-0.68,1.449,5089453.82,9691425.139,0.335,-0.14,101.6,82.3,9.144,0.433,138.91,76.2,26.41,0.25,105
320,0.193,82.917,337.363,319.995,-0.679,1.491,5089453.821,9691425.181,0.339,-0.13,101.6,82.3,9.144,0.433,138.91,76.2,26.41,0.25,105
330,0.053,104.272,347.363,329.995,-0.678,1.513,5089453.822,9691425.203,0.435,-0.12,101.6,82.3,9.144,0.433,138.91,76.2,26.41,0.25,105
340,0.103,196.314,357.363,339.995,-0.688,1.515,5089453.812,9691425.205,0.354,-0.13,101.6,82.3,9.144,0.433,138.91,76.2,26.41,0.25,105
350,0.361,144.862,367.363,349.995,-0.722,1.53,5089453.778,9691425.22,0.923,-0.16,101.6,82.3,9.144,0.433,138.91,76.2,26.41,0.25,105
