Глубина по стволу,Глубина по вертикали,Спуск,Подъём,Бурение ротором,Бурение ГЗД,Синусоидальный изгиб(все операции),Спиральный изгиб(с вращением),Спиральный изгиб(без вращения),Предел натяжения,Грузоподъёмность вышки
0,0,41.11,63.8,45.75,37.98,-24.83,-35.12,-70.24,128.96,225
9.03,9.03,40.96,63.5,45.54,37.82,-10.94,-15.47,-30.94,128.96,225
18.06,18.06,40.78,63.26,45.33,37.64,-2.01,-2.84,-5.68,128.96,225
27.09,27.09,40.58,63.04,45.13,37.44,-14.17,-20.04,-40.09,128.96,225
36.13,36.13,40.43,62.75,44.92,37.29,-0.92,-1.31,-2.61,128.96,225
45.16,45.16,40.23,62.53,44.72,37.09,-6.93,-9.81,-19.61,128.96,225
54.19,54.19,40.06,62.28,44.51,36.91,-5.77,-8.16,-16.33,128.96,225
63.22,63.22,39.87,62.04,44.3,36.73,-5.74,-8.12,-16.25,128.96,225
72.25,72.25,39.69,61.79,44.1,36.54,-6.77,-9.57,-19.14,128.96,225
81.28,81.28,39.51,61.55,43.89,36.36,-1,-1.42,-2.84,128.96,225
90.32,90.31,39.31,61.33,43.69,36.16,-9.66,-13.67,-27.33,128.96,225
99.35,99.35,39.14,61.07,43.48,35.99,-3.22,-4.55,-9.1,128.96,225
108.38,108.38,38.95,60.83,43.27,35.8,-11.18,-15.81,-31.62,128.96,225
117.41,117.41,38.79,60.56,43.07,35.63,-7.21,-10.19,-20.39,128.96,225
126.44,126.44,38.61,60.31,42.86,35.45,-3.97,-5.61,-11.23,128.96,225
135.47,135.47,38.42,60.08,42.66,35.26,-5.72,-8.09,-16.19,128.96,225
144.51,144.5,38.24,59.84,42.45,35.07,-4.48,-6.34,-12.67,128.96,225
153.54,153.53,38.05,59.62,42.25,34.88,-1.04,-1.47,-2.94,128.96,225
162.57,162.57,37.86,59.39,42.04,34.69,-7.42,-10.5,-20.99,128.96,225
171.6,171.6,37.68,59.14,41.83,34.51,-6.21,-8.78,-17.56,128.96,225
180.63,180.63,37.49,58.9,41.63,34.32,-10.65,-15.07,-30.13,128.96,225
189.66,189.66,37.32,58.63,41.42,34.15,-1.45,-2.05,-4.11,128.96,225
198.7,198.69,37.13,58.41,41.21,33.95,-5.8,-8.21,-16.41,128.96,225
207.73,207.72,36.94,58.17,41.01,33.76,-4.95,-7,-14,128.96,225
