Измеренная глубина рейса,Мин. вес на долоте до синусоидального изгиба (бурение ротором),Мин. вес на долоте до спирального изгиба (бурение ротором),Мин. вес на долоте до синусоидального изгиба (бурение ГЗД),Мин. вес на долоте до спирального изгиба (бурение ГЗД)
2359,8.55,9.32,4.71,5.56
2409,7.31,7.57,3.1,3.86
2459,7.12,7.32,2.72,3.29
2509,7.49,7.72,2.61,3.26
2559,8.98,9.33,3.46,4.48
2609,8.95,9.2,3.1,3.82
2659,8.8,9.15,2.66,3.67
2709,8.72,8.97,2.25,2.98
2759,10.42,11.38,3.02,5.1
2809,12.63,12.78,3.86,4.37
2859,11.56,12.32,3.17,4.11
2909,10.66,10.94,2.06,2.89
2928,10.91,11.35,2.08,3.15
