Измеренная глубина рейса,Спуск,Подъём,Бурение ротором,Момент свинчивания, Make-up Torque
2359,0,0,5.236,18.3673,18.3673
2409,0,0,5.7066,18.3673,18.3673
2459,0,0,6.1398,18.3673,18.3673
2509,0,0,6.2523,18.3673,18.3673
2559,0,0,6.3393,18.3673,18.3673
2609,0,0,6.7605,18.3673,18.3673
2659,0,0,6.8591,18.3673,18.3673
2709,0,0,7.1449,18.3673,18.3673
2759,0,0,7.1554,18.3673,18.3673
2809,0,0,7.7399,18.3673,18.3673
2859,0,0,7.748,18.3673,18.3673
2909,0,0,8.0131,18.3673,18.3673
2928,0,0,8.1166,18.3673,18.3673
