Измеренная глубина рейса,Спуск,Подъём,Бурение ротором,Бурение ГЗД,Мин. вес до спирального изгиба (спуск),Макс. вес до предела текучести (подъём),Грузоподъёмность вышки
2359,59.8,71.92,59.4,57.01,52.06,132.07,225
2409,59.19,72.11,59.23,56.1,54.22,131.98,225
2459,58.4,72.72,59.14,55.26,53.84,132.81,225
2509,58.14,72.85,59.13,54.93,53.56,132.74,225
2559,58.86,74.26,60.09,55.76,53.61,132.29,225
2609,58.13,74.98,60.07,55.02,53.26,133.11,225
2659,57.82,75.02,59.99,54.68,53.59,132.98,225
2709,57.21,75.61,59.91,54.02,53.37,132.9,225
2759,57,75.57,59.82,53.74,49.69,132.83,225
2809,55.95,76.64,59.72,52.74,49.47,133.27,225
2859,55.66,76.43,59.57,52.45,50.91,133.19,225
2909,54.95,76.6,59.36,51.71,51.11,132.62,225
2928,54.66,76.74,59.27,51.42,50.41,132.59,225
