MD,Incl.,Azim.,Sub-Sea,TVD,Local N Coord,Local E Coord,Global N Coord,Global E Coord,Dogleg,Vertical Section,Body_OD,Body_ID,Body_AvgJointLength,Stabilizer_Length,Stabilizer_OD,Stabilizer_ID,Weight,Coefficient of Friction,Minimum Yield Stress
0.000     ,0.000     ,0.000     ,21.760    ,0.000      ,0.000      ,0.000      ,5217040.260  ,9501499.400  ,0.000  ,0.00     ,101.6,82.3,9.144,0.433,127.4,61.91,26.12,0.25,105
330.000   ,0.000     ,0.000     ,351.760   ,330.000    ,0.000      ,0.000      ,5217040.260  ,9501499.400  ,0.000  ,0.00     ,101.6,82.3,9.144,0.433,127.4,61.91,26.12,0.25,105
360.000   ,5.040     ,248.000   ,381.722   ,359.961    ,-0.494     ,-1.223     ,5217039.766  ,9501498.177  ,5.040  ,1.32,101.6,82.3,9.144,0.433,127.4,61.91,26.12,0.25,105
390.000   ,10.080    ,248.000   ,411.451   ,389.691    ,-1.972     ,-4.881     ,5217038.288  ,9501494.519  ,5.040  ,5.26,101.6,82.3,9.144,0.433,127.4,61.91,26.12,0.25,105
420.000   ,15.120    ,248.000   ,440.720   ,418.959    ,-4.423     ,-10.947    ,5217035.837  ,9501488.453  ,5.040  ,11.81,120.65,57,9.144,0.433,127.4,61.91,77.55,0.25,110
450.000   ,20.160    ,248.000   ,469.300   ,447.539    ,-7.827     ,-19.373    ,5217032.433  ,9501480.027  ,5.040  ,20.89    ,120.65,50.8,10.058,0.433,127.4,61.91,73.84,0.25,110
480.000   ,25.200    ,248.000   ,496.971   ,475.210    ,-12.159    ,-30.095    ,5217028.101  ,9501469.305  ,5.040  ,32.46    ,120.65,57,9.144,1.219,120.65,58.75,58.26,0.25,110
510.000   ,30.240    ,248.000   ,523.519   ,501.759    ,-17.385    ,-43.029    ,5217022.875  ,9501456.371  ,5.040  ,46.41    ,88.9,57.15,9.14,1.219,120.65,58.75,34.53,0.25,55
540.000   ,35.280    ,248.000   ,548.740   ,526.979    ,-23.464    ,-58.076    ,5217016.796  ,9501441.324  ,5.040  ,62.64    ,88.9,57.15,9.14,1.219,120.65,58.75,34.53,0.25,55
570.000   ,40.320    ,248.000   ,572.437   ,550.676    ,-30.350    ,-75.119    ,5217009.910  ,9501424.281  ,5.040  ,81.02    ,88.9,57.15,9.14,1.219,120.65,58.75,34.53,0.25,55
580.000   ,42.000    ,248.000   ,579.965   ,558.205    ,-32.815    ,-81.221    ,5217007.445  ,9501418.179  ,5.040  ,87.60    ,88.9,57.15,9.14,1.219,120.65,58.75,34.53,0.25,55
600.000   ,42.000    ,248.000   ,594.828   ,573.067    ,-37.829    ,-93.629    ,5217002.431  ,9501405.771  ,0.000  ,100.98   ,88.9,57.15,9.14,1.219,120.65,58.75,34.53,0.25,55
620.000   ,43.333    ,248.000   ,609.534   ,587.773    ,-42.906    ,-106.196   ,5216997.354  ,9501393.204  ,2.000  ,114.54   ,88.9,57.15,9.14,1.219,120.65,58.75,34.53,0.25,55
630.000   ,45.839    ,248.000   ,616.655   ,594.895    ,-45.536    ,-112.704   ,5216994.724  ,9501386.696  ,7.517  ,121.56   ,88.9,57.15,9.14,1.219,120.65,58.75,34.53,0.25,55
645.000   ,49.597    ,248.000   ,626.745   ,604.985    ,-49.692    ,-122.992   ,5216990.568  ,9501376.408  ,7.517  ,132.65   ,88.9,57.15,9.14,1.219,120.65,58.75,34.53,0.25,55
660.000   ,53.356    ,248.000   ,636.086   ,614.325    ,-54.087    ,-133.871   ,5216986.173  ,9501365.529  ,7.517  ,144.38   ,88.9,66.09,9.144,0.469,123.03,65.09,25.24,0.3,105
675.000   ,57.114    ,248.000   ,644.637   ,622.877    ,-58.703    ,-145.294   ,5216981.557  ,9501354.106  ,7.517  ,156.70   ,88.9,66.09,9.144,0.469,123.03,65.09,25.24,0.3,105
690.000   ,60.873    ,248.000   ,652.363   ,630.603    ,-63.518    ,-157.213   ,5216976.742  ,9501342.187  ,7.517  ,169.56   ,88.9,66.09,9.144,0.469,123.03,65.09,25.24,0.3,105
705.000   ,64.631    ,248.000   ,659.230   ,637.469    ,-68.513    ,-169.575   ,5216971.747  ,9501329.825  ,7.517  ,182.89   ,88.9,66.09,9.144,0.469,123.03,65.09,25.24,0.3,105
720.000   ,68.390    ,248.000   ,665.207   ,643.447    ,-73.665    ,-182.328   ,5216966.595  ,9501317.072  ,7.517  ,196.65   ,88.9,66.09,9.144,0.469,123.03,65.09,25.24,0.3,105
735.000   ,72.148    ,248.000   ,670.270   ,648.510    ,-78.953    ,-195.417   ,5216961.307  ,9501303.983  ,7.517  ,210.76   ,88.9,66.09,9.144,0.469,123.03,65.09,25.24,0.3,105
750.000   ,75.906    ,248.000   ,674.397   ,652.637    ,-84.355    ,-208.785   ,5216955.905  ,9501290.615  ,7.517  ,225.18   ,88.9,66.09,9.144,0.469,123.03,65.09,25.24,0.3,105
765.000   ,79.665    ,248.000   ,677.570   ,655.810    ,-89.846    ,-222.375   ,5216950.414  ,9501277.025  ,7.517  ,239.84   ,88.9,66.09,9.144,0.469,123.03,65.09,25.24,0.3,105
780.000   ,83.423    ,248.000   ,679.776   ,658.015    ,-95.403    ,-236.130   ,5216944.857  ,9501263.270  ,7.517  ,254.67   ,88.9,66.09,9.144,0.469,123.03,65.09,25.24,0.3,105
795.000   ,87.182    ,248.000   ,681.004   ,659.243    ,-101.002   ,-249.988   ,5216939.258  ,9501249.412  ,7.517  ,269.62   ,88.9,66.09,9.144,0.469,123.03,65.09,25.24,0.3,105
806.248   ,90.000    ,248.000   ,681.280   ,659.520    ,-105.214   ,-260.413   ,5216935.046  ,9501238.987  ,7.517  ,280.86   ,88.9,66.09,9.144,0.469,123.03,65.09,25.24,0.3,105
810.000   ,90.000    ,248.000   ,681.280   ,659.520    ,-106.619   ,-263.892   ,5216933.641  ,9501235.508  ,0.000  ,284.62   ,88.9,66.09,9.144,0.469,123.03,65.09,25.24,0.3,105
840.000   ,90.000    ,248.000   ,681.280   ,659.520    ,-117.857   ,-291.707   ,5216922.403  ,9501207.693  ,0.000  ,314.62   ,88.9,66.09,9.144,0.469,123.03,65.09,25.24,0.3,105
870.000   ,90.000    ,248.000   ,681.280   ,659.520    ,-129.096   ,-319.523   ,5216911.164  ,9501179.877  ,0.000  ,344.62   ,88.9,66.09,9.144,0.469,123.03,65.09,25.24,0.3,105
900.000   ,90.000    ,248.000   ,681.280   ,659.520    ,-140.334   ,-347.338   ,5216899.926  ,9501152.062  ,0.000  ,374.62   ,88.9,66.09,9.144,0.469,123.03,65.09,25.24,0.3,105
930.000   ,90.000    ,248.000   ,681.280   ,659.520    ,-151.572   ,-375.154   ,5216888.688  ,9501124.246  ,0.000  ,404.62   ,88.9,66.09,9.144,0.469,123.03,65.09,25.24,0.3,105
