Глубина по стволу,Глубина по вертикали,Спуск,Подъём,Бурение ротором,Бурение ГЗД,Синусоидальный изгиб(все операции),Спиральный изгиб(с вращением),Спиральный изгиб(без вращения),Предел натяжения,Грузоподъёмность вышки
0,0,11.05,24.5,13.53,8.31,-8.26,-11.68,-23.36,111.63,225
9.13,9.13,10.85,24.28,13.33,8.11,-0.31,-0.44,-0.87,111.63,225
18.26,18.26,10.65,24.07,13.12,7.9,-0.54,-0.77,-1.53,111.63,225
27.39,27.39,10.44,23.86,12.91,7.7,-2.87,-4.06,-8.13,111.63,225
36.52,36.52,10.24,23.64,12.71,7.5,-3.27,-4.62,-9.24,111.63,225
45.65,45.65,10.04,23.43,12.5,7.29,-3.25,-4.6,-9.2,111.63,225
54.78,54.78,9.84,23.22,12.3,7.09,-0.23,-0.32,-0.64,111.63,225
63.91,63.91,9.63,23.01,12.09,6.88,-0.11,-0.16,-0.32,111.63,225
73.04,73.04,9.43,22.8,11.88,6.68,-0.74,-1.05,-2.1,111.63,225
82.18,82.18,9.22,22.59,11.68,6.47,-0.5,-0.71,-1.43,111.63,225
91.31,91.31,9.02,22.39,11.47,6.27,-0.68,-0.97,-1.94,111.63,225
100.44,100.44,8.81,22.18,11.27,6.06,-2.55,-3.6,-7.2,111.63,225
109.57,109.57,8.61,21.97,11.06,5.86,-11.98,-16.94,-33.87,111.63,225
118.7,118.7,8.41,21.73,10.86,5.66,-3.42,-4.83,-9.67,111.63,225
127.83,127.83,8.21,21.51,10.65,5.46,-5.04,-7.13,-14.25,111.63,225
136.96,136.96,8.01,21.29,10.44,5.25,-0.33,-0.46,-0.92,111.63,225
146.09,146.09,7.81,21.09,10.24,5.05,-1.7,-2.4,-4.8,111.63,225
155.22,155.22,7.6,20.88,10.03,4.84,-0.37,-0.53,-1.05,111.63,225
164.35,164.35,7.4,20.67,9.83,4.64,-1.95,-2.76,-5.52,111.63,225
173.48,173.48,7.19,20.46,9.62,4.43,-0.84,-1.19,-2.37,111.63,225
