Измеренная глубина рейса,Мин. вес на долоте до синусоидального изгиба (бурение ротором),Мин. вес на долоте до спирального изгиба (бурение ротором),Мин. вес на долоте до синусоидального изгиба (бурение ГЗД),Мин. вес на долоте до спирального изгиба (бурение ГЗД)
776,8.52,9.08,4.98,5.8
785.3,8.48,9.05,4.75,5.53
794.6,8.44,9.02,4.53,5.26
803.9,8.36,8.94,4.29,4.98
813.2,8.3,8.87,4.15,4.88
822.5,8.26,8.84,4.05,4.8
831.8,8.25,8.6,3.96,4.35
841.1,8.25,8.66,3.89,4.36
850.4,8.25,8.85,3.82,4.65
859.7,8.27,8.88,3.77,4.75
869,8.3,8.9,3.68,4.51
878.3,8.3,8.85,3.61,4.45
887.6,8.26,8.81,3.51,4.43
896.9,8.23,8.76,3.41,4.41
906.2,8.19,8.71,3.31,4.61
915.5,8.16,8.67,3.22,4.41
924.8,8.1,8.51,3.1,4.31
934.1,7.16,7.28,2.53,2.87
943.4,7.41,7.52,2.47,2.78
952.7,7.98,8.31,2.77,3.73
962,8.36,8.93,2.95,4.16
971.3,8.45,9.04,2.94,4.14
980.6,8.53,9.14,2.92,4.17
989.9,8.65,9.3,2.93,4.23
999.2,8.74,9.41,2.92,4.11
1008.5,8.79,9.46,2.88,3.99
1017.8,8.05,8.21,2.31,2.77
1027.1,7.98,8.09,2.18,2.52
1036.4,8.63,9,2.55,3.62
1045.7,8.92,9.5,2.66,4.35
1055,9,9.59,2.64,4.39
1064.3,9.08,9.7,2.62,4.42
1073.6,9.22,9.88,2.63,4.55
1082.9,9.28,9.95,2.6,4.56
1092.2,9.32,9.79,2.55,3.95
1101.5,8.74,9.07,2.25,3.21
1110.8,10.12,10.84,2.86,4.79
1120.1,9.97,10.46,2.64,4.07
1129.4,10.11,10.57,2.67,4.02
1138.7,10.01,10.51,2.8,4.28
1148,10.66,11.4,3.07,4.47
1157.3,12.8,13.02,4.39,5.04
1166.6,12.62,12.76,4.18,4.6
1175.9,13.04,13.35,4.45,5.1
1185.2,11.18,11.38,3.21,3.8
1194.5,11.13,11.25,2.98,3.32
1203.8,11.16,11.29,2.92,3.32
1213.1,11.59,11.93,3.13,4.13
1222.4,11.02,11.13,2.66,2.99
1231.7,12.06,12.63,3.28,4.13
1241,11.39,11.69,2.76,3.63
1250.3,12.31,12.63,3.3,3.74
1259.6,11.12,11.53,2.28,3.48
1268.9,11.95,12.26,2.77,3.22
1278.2,11.4,11.9,2.32,3.76
1282,11.95,12.21,2.67,3.09
