Измеренная глубина рейса,Спуск,Подъём,Бурение ротором,Бурение ГЗД,Мин. вес до спирального изгиба (спуск),Макс. вес до предела текучести (подъём),Грузоподъёмность вышки
776,28.01,31.5,24.77,25.54,20.09,98.32,225
785.3,27.88,31.62,24.78,25.34,20.18,98.36,225
794.6,27.74,31.72,24.79,25.15,20.21,97.93,225
803.9,27.72,31.95,24.92,25.08,20.42,98.14,225
813.2,27.76,32.2,25.09,25.11,20.71,98.39,225
822.5,27.86,32.47,25.29,25.19,21.11,98.65,225
831.8,27.98,32.74,25.51,25.29,21.35,99.31,225
841.1,28.23,33.13,25.84,25.53,21.72,99.58,225
850.4,28.52,33.59,26.23,25.82,22.14,100.46,225
859.7,28.83,34.06,26.63,26.11,22.58,100.88,225
869,29.1,34.54,27.02,26.37,23.02,101.8,225
878.3,29.41,35,27.42,26.66,23.49,102.21,225
887.6,29.38,35.14,27.49,26.62,22.3,101.86,225
896.9,29.27,35.21,27.48,26.5,23.37,101.9,225
906.2,29.16,35.28,27.48,26.38,23.44,101.95,225
915.5,29.07,35.33,27.47,26.28,23.35,101.44,225
924.8,28.97,35.39,27.47,26.17,22.39,101.42,225
934.1,28.87,35.45,27.47,26.06,24.65,101.37,225
943.4,28.78,35.5,27.46,25.95,24.48,101.34,225
952.7,28.67,35.57,27.46,25.82,22.65,100.93,225
962,28.56,35.64,27.45,25.71,22.79,101.03,225
971.3,28.44,35.72,27.45,25.59,22.92,103.08,225
980.6,28.34,35.78,27.44,25.48,22.77,103.08,225
989.9,28.23,35.84,27.44,25.36,22.9,103.62,225
999.2,28.13,35.9,27.43,25.24,22.73,103.6,225
1008.5,28.02,35.96,27.43,25.13,22.63,105.78,225
1017.8,27.91,36,27.42,25.01,24.03,107.19,225
1027.1,27.8,36.06,27.41,24.9,23.77,107.23,225
1036.4,27.66,36.13,27.39,24.76,22.04,89.84,225
1045.7,27.56,36.19,27.39,24.66,22.26,89.37,225
1055,27.43,36.26,27.38,24.53,21.15,88.93,225
1064.3,27.3,36.32,27.36,24.39,20.84,90.33,225
1073.6,27.18,36.38,27.36,24.27,20.45,91.72,225
1082.9,27.07,36.44,27.35,24.15,20.39,93.14,225
1092.2,26.95,36.49,27.34,24.02,20.52,94.5,225
1101.5,26.82,36.55,27.32,23.89,22.01,94.1,225
1110.8,26.7,36.61,27.31,23.77,20.9,94.62,225
1120.1,26.59,36.67,27.3,23.66,20.83,89.01,225
1129.4,26.45,36.74,27.28,23.52,17.9,88.59,225
1138.7,26.34,36.79,27.27,23.4,19.94,93.73,225
1148,25.8,36.57,26.97,22.85,18.91,93.79,225
1157.3,26.07,36.9,27.23,23.14,19.14,93.72,225
1166.6,25.94,36.96,27.21,23,19.08,95.35,225
1175.9,25.8,37.01,27.19,22.88,19.4,94.32,225
1185.2,25.65,37.08,27.16,22.73,19.99,93.34,225
1194.5,25.52,37.14,27.14,22.6,20.69,94.31,225
1203.8,25.36,37.21,27.11,22.46,20.51,113.52,225
1213.1,25.21,37.27,27.08,22.31,18.87,113.49,225
1222.4,25.05,37.32,27.05,22.15,20.58,100.49,225
1231.7,24.88,37.38,27.01,22,18.52,100.58,225
1241,24.73,37.43,26.98,21.86,19.22,100.51,225
1250.3,24.55,37.48,26.93,21.69,18.91,100.65,225
1259.6,23.79,37.05,26.45,20.89,18.77,100.53,225
1268.9,23.81,37.22,26.55,20.89,18.82,97.17,225
1278.2,23.64,37.25,26.49,20.72,18.89,100.54,225
1282,23.62,37.24,26.48,20.68,18.62,99.86,225
