Глубина по стволу,Глубина по вертикали,Спуск,Подъём,Бурение ротором,Бурение ГЗД,Синусоидальный изгиб(все операции),Спиральный изгиб(с вращением),Спиральный изгиб(без вращения),Предел натяжения,Грузоподъёмность вышки
0.00,0.00,-0.47,22.80,4.82,-2.03,-11.58,-16.37,-32.74,111.63,225.00
9.06,9.06,-0.67,22.58,4.62,-2.23,-0.59,-0.83,-1.66,111.63,225.00
18.11,18.11,-0.88,22.37,4.41,-2.43,-0.60,-0.85,-1.71,111.63,225.00
27.17,27.17,-1.08,22.16,4.21,-2.64,-4.06,-5.74,-11.49,111.63,225.00
36.23,36.23,-1.29,21.95,4.00,-2.84,-4.47,-6.32,-12.64,111.63,225.00
45.29,45.29,-1.49,21.74,3.80,-3.05,-4.21,-5.95,-11.89,111.63,225.00
54.34,54.34,-1.69,21.52,3.59,-3.25,-0.37,-0.52,-1.04,111.63,225.00
63.40,63.40,-1.90,21.32,3.39,-3.45,-0.22,-0.32,-0.64,111.63,225.00
72.46,72.46,-2.10,21.11,3.18,-3.66,-0.91,-1.28,-2.57,111.63,225.00
81.52,81.52,-2.31,20.90,2.98,-3.86,-1.43,-2.02,-4.03,111.63,225.00
90.57,90.57,-2.51,20.70,2.77,-4.06,-0.16,-0.22,-0.44,111.63,225.00
99.63,99.63,-2.72,20.49,2.57,-4.27,-3.30,-4.67,-9.34,111.63,225.00
108.69,108.69,-2.92,20.28,2.36,-4.47,-14.89,-21.05,-42.11,111.63,225.00
117.75,117.75,-3.12,20.05,2.15,-4.67,-4.46,-6.31,-12.62,111.63,225.00
126.80,126.80,-3.32,19.83,1.95,-4.87,-6.28,-8.88,-17.76,111.63,225.00
135.86,135.86,-3.53,19.61,1.74,-5.07,-0.97,-1.37,-2.73,111.63,225.00
144.92,144.92,-3.73,19.41,1.54,-5.28,-2.91,-4.12,-8.24,111.63,225.00
153.98,153.97,-3.93,19.20,1.34,-5.48,-0.36,-0.51,-1.02,111.63,225.00
163.03,163.03,-4.14,18.99,1.13,-5.68,-2.09,-2.96,-5.92,111.63,225.00
172.09,172.09,-4.34,18.78,0.92,-5.89,-1.52,-2.15,-4.29,111.63,225.00
181.15,181.15,-4.54,18.58,0.72,-6.08,-1.09,-1.54,-3.08,111.63,225.00
190.20,190.20,-4.75,18.37,0.51,-6.29,-17.42,-24.64,-49.28,111.63,225.00
199.26,199.26,-4.94,18.15,0.31,-6.48,-58.15,-82.24,-164.47,111.63,225.00
208.32,208.32,-5.12,17.83,0.11,-6.65,-63.47,-89.75,-179.51,111.63,225.00
217.38,217.37,-5.29,17.51,-0.10,-6.81,-58.97,-83.39,-166.77,111.63,225.00
226.43,226.41,-5.46,17.20,-0.30,-6.97,-70.78,-100.09,-200.19,111.63,225.00
