Измеренная глубина рейса,Спуск,Подъём,Бурение ротором,Момент свинчивания, Make-up Torque
647.45,0.0404,0.0371,3.5371,12.6742,12.6742
656.75,0.0431,0.0390,3.6015,12.6742,12.6742
666.05,0.0458,0.0405,3.6607,12.6742,12.6742
675.35,0.0480,0.0421,3.7200,13.5392,13.5392
684.65,0.0497,0.0433,3.7536,13.5392,13.5392
693.95,0.0514,0.0446,3.7998,13.5392,13.5392
703.25,0.0531,0.0457,3.8291,15.8631,15.8631
712.55,0.0548,0.0469,3.8890,13.5392,13.5392
721.85,0.0565,0.0482,3.9269,13.5392,13.5392
731.15,0.0582,0.0493,3.9623,13.5392,13.5392
740.45,0.0598,0.0503,3.9998,13.5392,13.5392
749.75,0.0615,0.0515,4.0430,16.3851,16.3851
759.05,0.0633,0.0528,4.0840,16.3851,16.3851
768.35,0.0650,0.0540,4.1129,16.3851,16.3851
777.65,0.0668,0.0554,4.1520,16.3851,16.3851
786.95,0.0685,0.0566,4.1974,16.3851,16.3851
796.25,0.0702,0.0577,4.2208,16.3851,16.3851
805.55,0.0718,0.0586,4.2672,16.3851,16.3851
814.85,0.0738,0.0600,4.3043,16.3851,16.3851
824.15,0.0753,0.0609,4.3376,16.3851,16.3851
833.45,0.0773,0.0625,4.3757,16.3851,16.3851
842.75,0.0792,0.0638,4.4125,16.3851,16.3851
852.05,0.0809,0.0651,4.4424,16.3851,16.3851
861.35,0.0829,0.0663,4.4856,16.3851,16.3851
870.65,0.0844,0.0674,4.5223,16.3851,16.3851
879.95,0.0865,0.0689,4.5649,16.3851,16.3851
889.25,0.0880,0.0699,4.5877,16.3851,16.3851
898.55,0.0902,0.0717,4.6390,16.3851,16.3851
907.85,0.0920,0.0729,4.6702,16.3851,16.3851
917.15,0.0944,0.0745,4.7181,16.3851,16.3851
926.45,0.0963,0.0754,4.7499,16.3851,16.3851
935.75,0.0986,0.0768,4.7919,16.3851,16.3851
945.05,0.1011,0.0787,4.8317,16.3851,16.3851
954.35,0.1036,0.0805,4.8779,16.3851,16.3851
