Измеренная глубина рейса,Спуск,Подъём,Бурение ротором,Бурение ГЗД,Мин. вес до спирального изгиба (спуск),Макс. вес до предела текучести (подъём),Грузоподъёмность вышки
647.45,25.47,29.05,20.33,24.19,19.35,97.18,225.00
656.75,25.27,29.06,20.26,23.99,19.45,97.34,225.00
666.05,25.08,29.06,20.19,23.78,19.35,97.14,225.00
675.35,25.10,29.26,20.32,23.79,19.60,97.44,225.00
684.65,25.35,29.64,20.64,24.03,19.93,97.77,225.00
693.95,25.59,30.02,20.96,24.27,20.26,98.11,225.00
703.25,25.83,30.40,21.29,24.51,20.60,98.44,225.00
712.55,26.12,30.82,21.65,24.79,20.96,98.79,225.00
721.85,26.36,31.21,21.98,25.03,21.28,99.17,225.00
731.15,26.59,31.57,22.29,25.26,21.60,99.49,225.00
740.45,26.86,31.96,22.63,25.51,21.94,99.79,225.00
749.75,26.81,32.04,22.66,25.46,21.97,99.80,225.00
759.05,26.72,32.09,22.65,25.37,21.97,99.80,225.00
768.35,26.65,32.16,22.66,25.29,21.98,99.82,225.00
777.65,26.57,32.22,22.67,25.21,21.98,99.83,225.00
786.95,26.49,32.28,22.67,25.12,21.99,99.86,225.00
796.25,26.42,32.33,22.67,25.04,22.00,99.86,225.00
805.55,26.34,32.37,22.67,24.96,21.98,99.78,225.00
814.85,26.25,32.44,22.67,24.86,21.96,99.82,225.00
824.15,26.17,32.48,22.67,24.78,21.95,99.75,225.00
833.45,26.08,32.55,22.67,24.68,21.92,99.82,225.00
842.75,26.00,32.61,22.67,24.60,21.90,99.85,225.00
852.05,25.91,32.67,22.67,24.51,18.70,99.87,225.00
861.35,25.85,32.74,22.69,24.43,20.51,99.80,225.00
870.65,25.76,32.78,22.67,24.34,20.02,99.79,225.00
879.95,25.67,32.84,22.67,24.24,18.03,99.79,225.00
889.25,25.60,32.90,22.68,24.17,18.08,99.83,225.00
898.55,25.49,32.96,22.67,24.05,18.05,99.85,225.00
907.85,25.41,33.01,22.67,23.96,19.05,99.86,225.00
917.15,25.30,33.08,22.67,23.85,18.75,104.76,225.00
926.45,25.20,33.12,22.67,23.76,18.99,105.06,225.00
935.75,25.09,33.18,22.66,23.65,18.97,104.58,225.00
945.05,24.97,33.24,22.66,23.54,18.52,105.81,225.00
954.35,24.86,33.29,22.65,23.43,18.94,96.26,225.00
963.65,24.74,33.34,22.64,23.32,18.93,96.27,225.00
972.95,24.60,33.39,22.63,23.18,18.93,96.31,225.00
982.25,24.48,33.44,22.62,23.07,18.79,95.71,225.00
991.55,24.35,33.50,22.59,22.96,18.93,95.77,225.00
"1,000.85",24.24,33.51,22.57,22.85,18.74,95.78,225.00
"1,010.15",24.14,33.60,22.57,22.76,18.50,95.80,225.00
"1,019.45",24.01,33.64,22.53,22.62,18.72,95.40,225.00
"1,028.75",23.91,33.69,22.50,22.51,18.50,95.82,225.00
"1,038.05",23.79,33.76,22.48,22.39,18.67,95.43,225.00
"1,047.35",23.68,33.82,22.45,22.27,18.47,95.83,225.00
"1,056.65",23.56,33.91,22.43,22.14,18.58,95.50,225.00
"1,065.95",23.46,33.97,22.40,22.03,18.48,95.83,225.00
"1,075.25",23.31,34.08,22.36,21.88,18.45,95.57,225.00
"1,084.55",23.20,34.14,22.32,21.76,18.48,95.36,225.00
"1,093.85",23.04,34.25,22.28,21.59,18.98,95.62,225.00
"1,103.15",22.94,34.32,22.24,21.48,18.49,95.35,225.00
"1,112.45",22.81,34.41,22.20,21.35,18.97,95.62,225.00
"1,121.75",22.66,34.50,22.16,21.19,18.87,95.34,225.00
"1,131.05",22.56,34.56,22.14,21.08,18.95,96.12,225.00
"1,140.35",22.40,34.61,22.08,20.91,18.86,95.33,225.00
"1,149.65",22.25,34.66,22.03,20.76,18.94,95.81,225.00
"1,158.95",22.09,34.68,21.99,20.60,18.85,95.32,225.00
"1,168.25",21.93,34.73,21.92,20.44,18.93,95.83,225.00
"1,177.55",21.74,34.73,21.87,20.24,18.83,95.33,225.00
"1,186.85",21.58,34.69,21.80,20.08,18.93,95.85,225.00
"1,196.15",21.35,34.68,21.71,19.85,18.81,95.32,225.00
"1,205.45",21.18,34.72,21.64,19.68,18.93,95.86,225.00
"1,214.75",20.94,34.73,21.54,19.43,18.78,95.30,225.00
"1,224.05",20.73,34.76,21.45,19.23,18.93,95.87,225.00
"1,233.35",20.50,34.78,21.36,19.00,18.76,95.28,225.00
"1,242.65",20.28,34.77,21.26,18.77,18.50,95.41,225.00
"1,251.95",20.04,34.77,21.17,18.53,18.75,95.27,225.00
"1,261.25",19.82,34.79,21.07,18.31,18.50,95.41,225.00
"1,270.55",19.58,34.73,20.98,18.06,18.73,95.25,225.00
"1,279.85",19.36,34.74,20.88,17.85,18.50,95.41,225.00
"1,289.15",19.10,34.67,20.78,17.58,18.75,95.24,225.00
"1,298.45",18.86,34.64,20.67,17.35,18.50,95.40,225.00
"1,307.75",18.59,34.56,20.57,17.07,18.81,95.22,225.00
"1,317.05",18.31,34.52,20.44,16.79,18.50,95.39,225.00
"1,326.35",17.96,34.45,20.31,16.44,18.85,95.19,225.00
"1,335.65",17.68,34.40,20.19,16.16,18.47,95.35,225.00
"1,344.95",17.40,34.35,20.08,15.88,18.74,95.15,225.00
"1,354.25",17.14,34.31,19.98,15.61,18.48,95.32,225.00
"1,363.55",16.89,34.32,19.90,15.37,18.68,95.57,225.00
"1,372.85",16.70,34.32,19.85,15.17,18.48,95.29,225.00
"1,382.15",16.50,34.35,19.80,14.98,18.93,95.44,225.00
"1,391.45",16.38,34.42,19.78,14.85,18.48,95.26,225.00
"1,400.75",16.27,34.49,19.77,14.75,18.93,95.44,225.00
"1,410.05",16.14,34.56,19.76,14.61,18.48,95.24,225.00
"1,419.35",16.03,34.63,19.74,14.49,18.93,95.44,225.00
"1,428.65",15.89,34.71,19.74,14.35,18.48,95.22,225.00
"1,437.95",15.80,34.81,19.73,14.26,18.93,95.43,225.00
"1,447.25",15.66,34.87,19.72,14.11,18.49,95.20,225.00
"1,456.55",15.56,34.98,19.71,14.01,18.93,95.43,225.00
"1,465.85",15.42,35.04,19.70,13.86,18.88,95.18,225.00
"1,475.15",15.32,35.15,19.69,13.76,18.49,95.42,225.00
"1,484.45",15.19,35.20,19.68,13.62,18.87,95.16,225.00
"1,493.75",15.07,35.32,19.66,13.51,18.49,95.41,225.00
"1,503.05",14.94,35.34,19.65,13.38,18.86,95.14,225.00
"1,512.35",14.84,35.48,19.64,13.27,18.50,95.40,225.00
"1,521.65",14.72,35.50,19.63,13.15,18.85,95.12,225.00
"1,530.95",14.62,35.64,19.62,13.05,18.50,95.38,225.00
"1,540.25",14.49,35.65,19.61,12.92,18.85,95.10,225.00
"1,549.55",14.39,35.79,19.60,12.83,18.50,95.37,225.00
"1,558.85",14.27,35.82,19.59,12.70,18.84,95.08,225.00
"1,568.15",14.18,35.97,19.59,12.62,18.50,95.35,225.00
"1,577.45",14.06,35.97,19.57,12.48,18.83,95.05,225.00
"1,586.75",13.94,36.11,19.56,12.38,18.50,95.34,225.00
"1,596.05",13.82,36.15,19.55,12.25,18.82,95.06,225.00
"1,605.35",13.71,36.27,19.54,12.14,18.48,95.32,225.00
"1,614.65",13.59,36.31,19.53,12.02,18.81,95.03,225.00
"1,623.95",13.48,36.41,19.51,11.92,18.47,95.30,225.00
"1,633.25",13.36,36.46,19.50,11.80,18.80,95.01,225.00
"1,642.55",13.23,36.57,19.49,11.66,18.47,95.28,225.00
"1,646.86",13.18,36.57,19.49,11.61,18.88,95.35,225.00
