MD,Incl.,Azim.,Sub-Sea,TVD,Local N Coord,Local E Coord,Global N Coord,Global E Coord,Dogleg,Vertical Section,Body_OD,Body_ID,Body_AvgJointLength,Stabilizer_Length,Stabilizer_OD,Stabilizer_ID,Weight,Coefficient of Friction,Minimum Yield Stress
10.000    ,,,,,,,,,,,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
20.000    ,,,,,,,,,,,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
30.000    ,,,,,,,,,,,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
40.000    ,,,,,,,,,,,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
50.000    ,,,,,,,,,,,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
60.000    ,,,,,,,,,,,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
70.000    ,,,,,,,,,,,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
80.000    ,,,,,,,,,,,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
90.000    ,,,,,,,,,,,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
100.000   ,,,,,,,,,,,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
110.000   ,,,,,,,,,,,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
120.000   ,,,,,,,,,,,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
130.000   ,,,,,,,,,,,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
140.000   ,,,,,,,,,,,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
150.000   ,,,,,,,,,,,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
160.000   ,,,,,,,,,,,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
170.000   ,,,,,,,,,,,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
175.360   ,,,,,,,,,,,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
180.000   ,,,,,,,,,,,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
185.400   ,,,,,,,,,,,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
190.000   ,,,,,,,,,,,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
193.900   ,,,,,,,,,,,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
200.000   ,,,,,,,,,,,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
202.900   ,,,,,,,,,,,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
210.000   ,,,,,,,,,,,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
212.100   ,,,,,,,,,,,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
220.000   ,,,,,,,,,,,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
221.300   ,,,,,,,,,,,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
230.000   ,,,,,,,,,,,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
230.400   ,,,,,,,,,,,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
239.500   ,,,,,,,,,,,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
240.000   ,,,,,,,,,,,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
248.500   ,,,,,,,,,,,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
250.000   ,,,,,,,,,,,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
260.000   ,,,,,,,,,,,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
261.400   ,,,,,,,,,,,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
270.000   ,,,,,,,,,,,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
274.300   ,,,,,,,,,,,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
280.000   ,,,,,,,,,,,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
287.200   ,,,,,,,,,,,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
290.000   ,,,,,,,,,,,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
300.000   ,,,,,,,,,,,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
300.100   ,,,,,,,,,,,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
310.000   ,,,,,,,,,,,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
313.000   ,,,,,,,,,,,120.65,57.15,9.144,,,,69.6,0.25,110
320.000   ,,,,,,,,,,,120.65,57.15,9.144,,,,69.6,0.25,110
325.900   ,,,,,,,,,,,120.65,57.15,9.144,,,,69.6,0.25,110
330.000   ,,,,,,,,,,,120.65,50.8,10,,,,73.84,0.25,110
338.800   ,,,,,,,,,,,120.65,50.8,10,,,,73.84,0.25,110
340.000   ,,,,,,,,,,,120.65,57.15,9.144,,,,69.6,0.25,110
350.000   ,,,,,,,,,,,120.65,57.15,9.144,,,,69.6,0.25,110
