Глубина по стволу,Глубина по вертикали,Спуск,Подъём,Бурение ротором,Бурение ГЗД,Синусоидальный изгиб(все операции),Спиральный изгиб(с вращением),Спиральный изгиб(без вращения),Предел натяжения,Грузоподъёмность вышки
0,0,3.46,11.83,3.02,0.58,-6.94,-9.81,-19.62,111.63,225
8.69,8.69,3.25,11.6,2.8,0.36,-10.66,-15.07,-30.14,111.63,225
17.38,17.38,3.05,11.39,2.6,0.15,-15.58,-22.03,-44.05,111.63,225
26.08,26.08,2.87,11.19,2.42,-0.03,-10.07,-14.24,-28.48,111.63,225
34.77,34.77,2.68,10.99,2.22,-0.22,-3.39,-4.79,-9.58,111.63,225
43.46,43.46,2.48,10.78,2.02,-0.42,-46.64,-65.96,-131.92,111.63,225
52.15,52.15,2.28,10.53,1.82,-0.62,-73.02,-103.26,-206.52,111.63,225
60.84,60.84,2.12,10.28,1.64,-0.8,-37.55,-53.1,-106.2,111.63,225
69.54,69.53,1.9,10.02,1.42,-1.01,-37.74,-53.37,-106.74,111.63,225
78.23,78.21,1.71,9.79,1.22,-1.21,-37.93,-53.64,-107.28,111.63,225
86.92,86.88,1.53,9.57,1.04,-1.38,-33.27,-47.04,-94.08,111.63,225
95.61,95.55,1.33,9.34,0.83,-1.58,-30.81,-43.56,-87.13,111.63,225
104.3,104.2,1.12,9.11,0.62,-1.77,-30.99,-43.82,-87.63,111.63,225
113,112.85,0.93,8.9,0.44,-1.95,-30.86,-43.64,-87.28,111.63,225
121.69,121.48,0.75,8.7,0.25,-2.12,-29.78,-42.12,-84.23,111.63,225
130.38,130.1,0.54,8.47,0.04,-2.32,-29.95,-42.36,-84.71,111.63,225
139.07,138.71,0.35,8.25,-0.16,-2.51,-30.12,-42.6,-85.19,111.63,225
147.76,147.31,0.18,8.06,-0.34,-2.67,-36.34,-51.39,-102.77,111.63,225
156.46,155.89,-0.01,7.84,-0.54,-2.86,-38.64,-54.65,-109.29,111.63,225
165.15,164.44,-0.2,7.63,-0.73,-3.03,-27.9,-39.46,-78.91,111.63,225
173.84,172.98,-0.37,7.43,-0.91,-3.2,-107.16,-151.54,-303.07,111.63,225
182.53,181.47,-0.55,7.17,-1.11,-3.35,-102.9,-145.51,-291.03,111.63,225
191.23,189.88,-0.73,6.91,-1.31,-3.49,-104.92,-148.37,-296.74,111.63,225
199.92,198.18,-0.89,6.67,-1.5,-3.63,-106.52,-150.63,-301.26,111.63,225
208.61,206.37,-1.05,6.43,-1.68,-3.76,-109.62,-155.02,-310.05,111.63,225
217.3,214.43,-1.21,6.19,-1.87,-3.89,-109.59,-154.97,-309.94,111.63,225
225.99,222.34,-1.34,5.98,-2.04,-3.99,-103.79,-146.77,-293.53,111.63,225
234.69,230.09,-1.49,5.75,-2.22,-4.11,-103.34,-146.14,-292.28,111.63,225
243.38,237.67,-1.62,5.55,-2.39,-4.22,-102.55,-145.01,-290.03,111.63,225
252.07,245.08,-1.75,5.35,-2.56,-4.32,-109.1,-154.29,-308.57,111.63,225
260.76,252.29,-1.87,5.16,-2.73,-4.41,-112.57,-159.19,-318.37,111.63,225
269.45,259.27,-1.96,4.98,-2.88,-4.48,-87.39,-123.59,-247.17,111.63,225
278.15,266.05,-2.08,4.81,-3.04,-4.57,-92.43,-130.71,-261.43,111.63,225
286.84,272.64,-2.17,4.65,-3.18,-4.64,-118.96,-168.22,-336.44,111.63,225
295.53,278.99,-2.26,4.48,-3.33,-4.7,-119.04,-168.34,-336.67,111.63,225
295.53,278.99,-2.26,4.48,-3.33,-4.7,-32.08,-45.36,-90.72,109.72,225
304.58,285.32,-2.34,4.34,-3.47,-4.77,-14.55,-20.57,-41.14,109.72,225
313.62,291.57,-2.44,4.18,-3.6,-4.86,-20.34,-28.76,-57.53,109.72,225
322.67,297.77,-2.52,4.03,-3.73,-4.94,-47.9,-67.73,-135.47,109.72,225
331.72,303.74,-2.59,3.89,-3.86,-4.97,-47.42,-67.05,-134.1,109.72,225
340.77,309.38,-2.64,3.76,-3.98,-4.99,-45.82,-64.8,-129.59,109.72,225
349.82,314.68,-2.68,3.64,-4.1,-5.01,-44.46,-62.87,-125.74,109.72,225
358.86,319.65,-2.72,3.54,-4.2,-5.02,-45.65,-64.55,-129.1,109.72,225
367.91,324.27,-2.75,3.43,-4.3,-5.02,-45.57,-64.44,-128.89,109.72,225
376.96,328.54,-2.76,3.34,-4.39,-5.01,-44.51,-62.95,-125.9,109.72,225
386.01,332.46,-2.77,3.24,-4.48,-5,-44.52,-62.96,-125.93,109.72,225
395.05,336.01,-2.78,3.16,-4.55,-4.98,-44.54,-62.98,-125.97,109.72,225
404.1,339.19,-2.76,3.08,-4.62,-4.94,-43.94,-62.14,-124.28,109.72,225
413.15,342.01,-2.75,3,-4.68,-4.91,-44.97,-63.59,-127.19,109.72,225
422.2,344.46,-2.73,2.94,-4.73,-4.86,-48.47,-68.55,-137.09,109.72,225
431.24,346.49,-2.69,2.88,-4.78,-4.8,-51.21,-72.42,-144.85,109.72,225
440.29,348.1,-2.64,2.84,-4.81,-4.72,-53.24,-75.29,-150.58,109.72,225
449.34,349.24,-2.58,2.8,-4.84,-4.63,-43.56,-61.6,-123.21,109.72,225
458.39,349.95,-2.52,2.76,-4.85,-4.55,-41.8,-59.12,-118.23,109.72,225
467.43,350.28,-2.45,2.74,-4.86,-4.46,-13.53,-19.13,-38.25,109.72,225
476.48,350.47,-2.4,2.67,-4.86,-4.41,-14.4,-20.37,-40.73,109.72,225
485.53,350.7,-2.35,2.6,-4.87,-4.36,-15.15,-21.43,-42.86,109.72,225
494.58,350.93,-2.3,2.54,-4.87,-4.31,-15.15,-21.43,-42.86,109.72,225
503.62,351.16,-2.24,2.48,-4.88,-4.26,-14.63,-20.69,-41.38,109.72,225
512.67,351.39,-2.19,2.41,-4.88,-4.2,-13.64,-19.29,-38.57,109.72,225
521.72,351.66,-2.14,2.34,-4.89,-4.16,-13.64,-19.28,-38.57,109.72,225
530.77,351.98,-2.09,2.27,-4.89,-4.11,-13.63,-19.28,-38.56,109.72,225
539.82,352.34,-2.04,2.21,-4.9,-4.07,-19.25,-27.22,-54.43,109.72,225
548.86,352.7,-1.99,2.14,-4.91,-4.01,-19.45,-27.51,-55.02,109.72,225
557.91,353.01,-1.94,2.08,-4.92,-3.95,-19.45,-27.51,-55.02,109.72,225
566.96,353.27,-1.88,2.02,-4.92,-3.89,-16.43,-23.23,-46.46,109.72,225
576.01,353.49,-1.82,1.96,-4.93,-3.84,-15.23,-21.53,-43.07,109.72,225
585.05,353.71,-1.77,1.89,-4.93,-3.78,-15.23,-21.53,-43.07,109.72,225
594.1,353.92,-1.72,1.83,-4.94,-3.73,-17.61,-24.9,-49.8,109.72,225
