Измеренная глубина рейса,Спуск,Подъём,Бурение ротором,Момент свинчивания, Make-up Torque
300.00,0.0000,0.0000,2.1669,12.6742,12.6742
309.30,0.0000,0.0000,2.1877,12.6742,12.6742
318.60,0.0000,0.0000,2.2039,12.6742,12.6742
327.90,0.0000,0.0000,2.2510,12.6742,12.6742
337.20,0.0000,0.0000,2.1841,12.6742,12.6742
346.50,0.0000,0.0000,2.2411,12.6742,12.6742
355.80,0.0000,0.0000,2.2868,12.6742,12.6742
365.10,0.0000,0.0000,2.4841,12.6742,12.6742
374.40,0.0000,0.0000,2.5485,12.6742,12.6742
383.70,0.0000,0.0000,2.6148,12.6742,12.6742
393.00,0.0000,0.0000,2.6811,12.6742,12.6742
402.30,0.0000,0.0000,2.7507,12.6742,12.6742
411.60,0.0000,0.0000,2.8221,12.6742,12.6742
420.90,0.0000,0.0000,2.8999,12.6742,12.6742
430.20,0.0000,0.0000,2.9747,12.6742,12.6742
439.50,0.0000,0.0000,3.0647,12.6742,12.6742
448.80,0.0000,0.0000,3.1534,12.6742,12.6742
458.10,0.0000,0.0000,3.2426,12.6742,12.6742
467.40,0.0000,0.0000,3.3340,12.6742,12.6742
476.70,0.0000,0.0000,3.3926,16.3851,16.3851
486.00,0.0000,0.0000,3.4594,16.3851,16.3851
495.30,0.0000,0.0000,3.5237,16.3851,16.3851
504.60,0.0000,0.0000,3.5682,16.3851,16.3851
513.90,0.0000,0.0000,3.6160,16.3851,16.3851
523.20,0.0000,0.0000,3.6648,16.3851,16.3851
532.50,0.0000,0.0000,3.6980,16.3851,16.3851
541.80,0.0000,0.0000,3.7305,16.3851,16.3851
551.10,0.0000,0.0000,3.7725,16.3851,16.3851
560.40,0.0000,0.0000,3.8161,16.3851,16.3851
569.70,0.0000,0.0000,3.8589,16.3851,16.3851
579.00,0.0000,0.0000,3.8990,16.3851,16.3851
588.30,0.0000,0.0000,3.9332,16.3851,16.3851
597.60,0.0000,0.0000,3.9735,16.3851,16.3851
606.90,0.0000,0.0000,4.0156,16.3851,16.3851
616.20,0.0000,0.0000,4.0711,16.3851,16.3851
625.50,0.0000,0.0000,4.1225,16.3851,16.3851
634.80,0.0000,0.0000,4.1721,16.3851,16.3851
644.10,0.0000,0.0000,4.2039,16.3851,16.3851
653.40,0.0000,0.0000,4.2424,16.3851,16.3851
662.70,0.0000,0.0000,4.2731,16.3851,16.3851
672.00,0.0000,0.0000,4.3185,16.3851,16.3851
681.30,0.0000,0.0000,4.3567,16.3851,16.3851
690.60,0.0000,0.0000,4.4025,16.3851,16.3851
699.90,0.0000,0.0000,4.4322,16.3851,16.3851
709.20,0.0000,0.0000,4.4702,16.3851,16.3851
718.50,0.0000,0.0000,4.4983,16.3851,16.3851
727.80,0.0000,0.0000,4.5540,16.3851,16.3851
737.10,0.0000,0.0000,4.6095,16.3851,16.3851
746.40,0.0000,0.0000,4.6755,16.3851,16.3851
755.70,0.0000,0.0000,4.7190,16.3851,16.3851
765.00,0.0000,0.0000,4.7586,16.3851,16.3851
767.00,0.0000,0.0000,4.7651,16.3851,16.3851
